Num,Distribuidor,IMEI,Alias,Marca,Modelo,Ciudad,Latitud,Longitud,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
1,AGROEQUIPOS,353738101215364,353738101215364,NEW HOLLAND CE,B80C,Cintalapa,16.6904806,-93.7475891,0,0,0,0,0,0,0,0,0,0,0,0
2,AGROEQUIPOS,353738101216677,353738101216677,NEW HOLLAND AG,7610S HERENCIA,Chahuites,16.281037,-94.1988845,4,30,0,0,10,0,23,14,10,1,45,0
3,AGROEQUIPOS,353738101232583,353738101232583,NEW HOLLAND AG,6810,Chahuites,16.3098731,-94.1876251,0,0,0,0,0,0,0,0,76,87,108,67
4,AGROEQUIPOS,353738101280137,353738101280137,NEW HOLLAND AG,7610S HERENCIA,0,16.3023658,-94.1908318,79,38,23,27,24,10,2,59,8,48,48,29
5,AGROEQUIPOS,353738102813829,353738102813829,NEW HOLLAND AG,6810,0,16.2818205,-94.198922,43,16,26,0,0,0,0,0,0,0,0,0
6,AGROEQUIPOS,356052106763619,356052106763619,NEW HOLLAND CE,B80C,0,16.737538,-92.6879981,31,3,45,13,23,35,54,54,17,6,2,0
7,AGROEQUIPOS,356052106906317,356052106906317,NEW HOLLAND AG,7610S HERENCIA,0,14.630637,-92.183581,31,12,19,21,1,0,12,29,31,60,51,47
8,AGROEQUIPOS,356052107276785,356052107276785,NEW HOLLAND AG,TT4.90,0,16.1888411,-92.0983401,0,0,0,0,0,0,0,0,0,0,0,0
9,AGROEQUIPOS,862255067068749,862255067068749,NEW HOLLAND AG,7610S HERENCIA,0,14.6161245,-92.2423111,0,0,2,0,0,0,72,111,61,79,50,65
10,AGROEQUIPOS,862407060160797,862407060160797,NEW HOLLAND AG,6610S HERENCIA,0,15.1020608,-92.5038206,0,0,0,0,0,1,4,6,0,56,45,87
11,AGROEQUIPOS,862407060163593,862407060163593,0,0,0,16.7608133,-93.1922636,0,0,1,7,0,0,0,0,0,0,0,0
12,AGROEQUIPOS,862407060169186,862407060169186,NEW HOLLAND AG,7610S HERENCIA,0,16.2932726,-94.1961075,0,0,1,0,26,7,26,46,20,66,97,34
13,AGROEQUIPOS,862407061475442,862407061475442,NEW HOLLAND AG,7610S HERENCIA,0,16.2226796,-92.452086,0,0,0,0,0,0,0,3,1,15,124,207
14,AGROEQUIPOS,862407061484741,862407061484741,NEW HOLLAND AG,7610S HERENCIA,0,16.2614201,-94.1805505,0,0,0,0,0,0,86,102,59,128,127,117
15,AGROEQUIPOS,862407061486555,862407061486555,NEW HOLLAND AG,TT4.90,0,20.3066573,-102.344673,0,0,0,0,0,0,0,54,10,62,0,0
16,AGROEQUIPOS,862407061487389,862407061487389,NEW HOLLAND AG,7610S HERENCIA,0,15.0518025,-92.5119963,0,0,0,0,0,0,0,5,2,82,43,93
17,AGROEQUIPOS,862407061487785,862407061487785,NEW HOLLAND AG,7610S HERENCIA,0,16.5357718,-93.9760795,0,0,0,0,0,0,0,0,0,0,0,0
18,AGROEQUIPOS,862407061500934,862407061500934,NEW HOLLAND AG,TS6.110,0,16.2752638,-92.451016,0,0,0,0,0,0,0,0,0,0,0,0
19,AGROEQUIPOS,862407061522367,862407061522367,NEW HOLLAND AG,7610S HERENCIA,0,16.2881873,-94.201495,0,0,0,0,0,0,5,83,29,32,26,6
20,AGROEQUIPOS,862407061522649,862407061522649,0,0,0,15.133916,-92.4636606,0,0,0,0,0,0,0,0,0,0,0,0
21,AGROEQUIPOS,862407061523076,862407061523076,0,0,0,25.642693,-100.317595,0,0,0,0,0,0,0,0,0,0,0,0
22,AGROEQUIPOS,862407061531970,862407061531970,0,0,0,19.2602496,-99.6427616,0,0,0,0,0,0,0,0,0,0,0,0
23,AGROEQUIPOS,862407061551622,862407061551622,NEW HOLLAND AG,7610S HERENCIA,0,16.270075,-94.190982,0,0,0,0,0,0,67,93,55,98,131,119
24,AGROEQUIPOS,862407061553206,862407061553206,NEW HOLLAND AG,7610S HERENCIA,0,21.5341111,-102.2423033,0,0,0,0,0,0,0,0,0,0,0,0
25,AGROEQUIPOS,862407061556530,862407061556530,NEW HOLLAND AG,7610S HERENCIA,0,16.2144303,-94.2295581,0,0,0,0,0,0,0,0,0,97,129,52
26,AGROEQUIPOS,862407061566810,862407061566810,NEW HOLLAND AG,TT4.90,0,15.5369248,-92.8917293,0,0,0,0,0,22,50,64,55,71,42,101
27,AGROEQUIPOS,862407061571505,862407061571505,NEW HOLLAND AG,7610S HERENCIA,0,14.902138,-92.606886,0,0,0,0,0,0,114,61,24,27,25,15
28,AGROEQUIPOS,862407061573428,862407061573428,NEW HOLLAND AG,TS6.120,0,15.3610826,-93.0193668,0,0,0,0,0,0,0,8,32,39,22,70
29,AGROEQUIPOS,862407061577387,862407061577387,0,0,0,25.6427686,-100.3175495,0,0,0,0,0,0,0,0,0,0,0,0
30,AGROEQUIPOS,862407061692186,862407061692186,NEW HOLLAND AG,6610S HERENCIA,0,16.692042,-93.6666885,0,0,0,0,0,0,0,0,0,47,45,72
31,AGROEQUIPOS,862407061698894,862407061698894,NEW HOLLAND AG,6610S HERENCIA,0,16.353526,-93.3164236,0,0,0,0,0,0,0,0,0,3,0,0
32,AGROEQUIPOS,862407061735324,862407061735324,NEW HOLLAND AG,6610S HERENCIA,0,16.346922,-93.2954576,0,0,0,0,0,0,0,0,0,1,0,5
33,AGROEQUIPOS,862407061814863,862407061814863,NEW HOLLAND AG,7610S HERENCIA,0,16.0977763,-93.8716266,0,0,0,0,0,0,0,0,0,0,0,0
34,AGROEQUIPOS,862407061839506,862407061839506,NEW HOLLAND AG,7610S HERENCIA,0,15.8249841,-91.9261736,0,0,0,0,0,0,0,0,0,0,0,0
35,AGROEQUIPOS,862407062059419,862407062059419,NEW HOLLAND AG,7610S HERENCIA,0,15.0704073,-92.542747,0,0,0,0,0,0,0,0,0,0,0,39
36,AGROEQUIPOS,862407062092667,862407062092667,NEW HOLLAND AG,6810,0,16.2830868,-94.19669,0,0,0,0,0,0,0,0,0,1,152,95
37,AGROEQUIPOS,862407062126507,862407062126507,NEW HOLLAND AG,7610S HERENCIA,0,15.1107081,-92.4868408,0,0,0,0,0,0,0,0,0,0,0,130
38,AGROEQUIPOS,862407062129584,862407062129584,NEW HOLLAND AG,7610S HERENCIA,0,15.7485528,-93.3907395,0,0,0,0,0,0,0,0,0,0,30,75
39,AGROEQUIPOS,862407062212265,862407062212265,NEW HOLLAND AG,7610S HERENCIA,0,15.2975386,-92.8315061,0,0,0,0,0,0,0,0,0,0,0,0
40,AGROEQUIPOS,862407062927912,862407062927912,NEW HOLLAND AG,TS6.120 ELITE,0,15.1174361,-92.5406543,0,0,0,0,0,0,0,0,0,0,0,0
41,AGROEQUIPOS,862407062951086,862407062951086,NEW HOLLAND AG,7610S HERENCIA,0,14.8275118,-92.1516203,0,0,0,0,0,0,0,0,0,0,0,0
42,AGROEQUIPOS,862407062951730,862407062951730,NEW HOLLAND AG,7610S HERENCIA,0,14.963805,-92.4777235,0,0,0,0,0,0,0,0,0,0,0,0
43,AGROEQUIPOS,862407062951763,862407062951763,NEW HOLLAND AG,7610S HERENCIA,0,15.0546956,-92.4544631,0,0,0,0,0,0,0,0,0,0,0,0
44,AGROEQUIPOS,866016064401028,866016064401028,CASE IH,FARMALL JX110,0,16.2197506,-92.449375,0,0,103,161,175,70,94,99,25,56,106,219
45,AGROEQUIPOS,866016064464851,866016064464851,NEW HOLLAND AG,7610S HERENCIA,0,15.3261976,-92.7797208,0,0,0,23,65,50,22,51,22,46,43,27
46,AGROEQUIPOS,866016064471963,866016064471963,NEW HOLLAND AG,6610S HERENCIA,0,16.3659283,-92.6909238,0,0,0,0,0,0,0,0,1,0,0,0
47,AGROEQUIPOS,866016064537987,866016064537987,NEW HOLLAND AG,6610S HERENCIA,0,16.0377606,-92.9755643,0,0,0,0,0,66,43,52,104,26,60,56
48,AGROEQUIPOS,866392061526533,866392061526533,NEW HOLLAND AG,TS6.120 ELITE,0,15.1253115,-92.4780363,0,0,0,156,2,0,0,0,0,1,1,260
49,AGROEQUIPOS,866392063358257,866392063358257,NEW HOLLAND AG,7610S HERENCIA,0,16.2885873,-94.2018533,0,0,0,0,0,0,0,7,107,125,126,42
50,AGROEQUIPOS,866392066982012,866392066982012,NEW HOLLAND AG,TS6.110,0,16.4835875,-93.676382,0,0,2,0,0,1,0,0,0,0,0,0
51,AGROEQUIPOS,866392068897440,866392068897440,0,0,0,25.6427955,-100.3175638,0,0,0,0,0,0,0,0,0,0,0,0
52,AGROEQUIPOS,866392069039075,866392069039075,NEW HOLLAND AG,TS6.120 ELITE,0,15.1254281,-92.4781636,0,0,0,88,2,0,0,0,0,2,1,287
53,AGROEQUIPOS,866392069105199,866392069105199,NEW HOLLAND AG,6610S HERENCIA,0,15.3231345,-92.811285,0,0,0,0,0,0,0,1,1,1,0,0
54,AGROEQUIPOS,866392069143794,866392069143794,NEW HOLLAND AG,TS6.120 ELITE,0,16.5260078,-93.920804,0,0,43,57,80,79,107,30,0,0,0,0
55,AGROEQUIPOS,866392069167868,866392069167868,0,0,0,25.6427621,-100.3175881,0,0,0,0,0,0,0,0,0,0,0,0
56,AGROEQUIPOS,353738101215364,AGROEQUIPOS - 353738101215364,NEW HOLLAND CE,,Cintalapa,16.6904806,-93.7475891,0,0,0,0,0,0,0,0,0,0,0,0
57,AGROEQUIPOS,353738101216677,AGROEQUIPOS - 353738101216677,NEW HOLLAND AG,,Chahuites,16.281037,-94.1988845,4,30,0,0,10,0,23,14,10,1,45,0
58,AGROEQUIPOS,353738101232583,AGROEQUIPOS - 353738101232583,NEW HOLLAND AG,,Chahuites,16.3098731,-94.1876251,0,0,0,0,0,0,0,0,76,87,108,67
59,AGROEQUIPOS,353738101280137,AGROEQUIPOS - 353738101280137,NEW HOLLAND AG,,0,16.3023658,-94.1908318,79,38,23,27,24,10,2,59,8,48,48,29
60,AGROEQUIPOS,356052107276785,AGROEQUIPOS - 356052107276785,NEW HOLLAND AG,,0,16.1888411,-92.0983401,0,0,0,0,0,0,0,0,0,0,0,0
61,AGROEQUIPOS,866392061504878,AGROEQUIPOS - 4100270M,NEW HOLLAND AG,,0,16.2733248,-92.4458346,48,105,22,0,0,1,22,1,0,1,52,96
62,AGROEQUIPOS,866392069039075,AGROEQUIPOS - 4100339M,NEW HOLLAND AG,,0,15.1254281,-92.4781636,0,0,0,88,2,0,0,0,0,2,1,287
63,AGROEQUIPOS,866392061526533,AGROEQUIPOS - 4100340M,NEW HOLLAND AG,,0,15.1253115,-92.4780363,0,0,0,156,2,0,0,0,0,1,1,260
64,AGROEQUIPOS,353738103030498,AGROEQUIPOS - 5800873M,NEW HOLLAND AG,,0,15.0617303,-92.4277815,69,27,35,78,16,24,0,4,2,6,5,127
65,AGROEQUIPOS,866392061434696,AGROEQUIPOS - 5801305M,NEW HOLLAND AG,,0,19.8380581,-98.5728246,0,0,0,0,0,0,0,0,0,0,0,0
66,AGROEQUIPOS,866392061512624,AGROEQUIPOS - 5801313M,NEW HOLLAND AG,,0,20.6354961,-100.4320503,0,0,0,0,0,0,0,0,0,0,0,0
67,AGROEQUIPOS,866392061514919,AGROEQUIPOS - 866392061514919,NEW HOLLAND CE,,0,16.756909,-93.1039006,0,64,110,18,49,0,0,31,88,78,59,43
68,AGROEQUIPOS,866392065089579,AGROEQUIPOS - 866392065089579,NEW HOLLAND AG,,0,15.0702245,-92.5471555,136,61,47,114,76,25,25,21,5,9,0,95
69,AGROEQUIPOS,866392065465514,AGROEQUIPOS - 866392065465514,NEW HOLLAND AG,,0,16.3654228,-94.1984741,1,1,4,0,109,39,10,1,80,116,88,3
70,AGROEQUIPOS,866392066784939,AGROEQUIPOS - 866392066784939,NEW HOLLAND AG,,0,15.1056461,-92.5011073,160,114,102,102,1,0,0,1,0,8,3,94
71,AGROEQUIPOS,866392068790611,AGROEQUIPOS - 866392068790611,NEW HOLLAND AG,,0,16.5045296,-93.7349995,1,1,2,3,3,164,43,1,0,32,111,44
72,AGROEQUIPOS,866392069086381,AGROEQUIPOS - 866392069086381,NEW HOLLAND AG,,0,14.8881248,-92.2783463,55,68,26,19,14,9,27,0,0,1,1,0
73,AGROEQUIPOS,866392061687947,AGROEQUIPOS - HFJ183628,CASE IH,,0,15.708938,-93.3809673,37,44,40,27,23,38,36,43,45,32,34,42
74,AGROEQUIPOS,866392061455774,AGROEQUIPOS - HFJ183710,CASE IH,,0,16.6636828,-93.6485175,25,17,18,11,68,62,52,25,47,57,16,1
75,AGROEQUIPOS,866392061531947,AGROEQUIPOS - HFJ183965,CASE IH,,0,16.2316313,-92.4196943,17,9,6,21,34,1,0,1,0,1,89,46
