VIN (17 CHARACTERS),VIN,BRAND,TYPE,PRODUCT,SERIES,MODEL,TECHNICAL TYPE,ICE CODE,DEVICE SERIAL NUMBER,SEVERITY LEVEL,CONTEXT,DEALER,DEALER NAME,DEALER CODE,COUNTRY OF COMPETENCE,LATITUDE,LONGITUDE,LAST KNOWN POSITION (COUNTRY),TELEMATICS BOX,TELEMATICS BRAND,TELEMATICS TYPE,TELEMATICS MODEL,OWNER NAME,ENGINE HOURS,LATEST COMMUNICATION DATE,BDE PROCESSED AT TIME,MYFLEET DEALER,MYFLEET DEALER NAME,EULA ACCEPTED
,FR1702510,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055307,A.A.02.013.004.003,1602-38000E07,Low,CNH_AG,Yes,"Maquinas Diesel Sa De Cv, Santa Catarina, Nuevo Leon",513666,Mexico,19.948257,-99.777908,Mexico,CM1X,CS,TRACTORS,FRMLL 80JXM,"Maquinas Diesel Sa De Cv, Santa Catarina, Nuevo Leon",10,2026-02-08 18:55:15,2026-02-09 00:33:33,190-08B114A,Maquinas Diesel Sa De Cv,Desconocido
,FR1702521,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055307,A.A.02.013.004.003,1602-38000BD1,Low,CNH_AG,Yes,"Maquinas Diesel Sa De Cv, Santa Catarina, Nuevo Leon",513666,Mexico,25.571901,-103.459717,Mexico,CM1X,CS,TRACTORS,FRMLL 80JXM,"Maquinas Diesel Sa De Cv, Santa Catarina, Nuevo Leon",1,2026-02-03 12:38:49,2026-02-09 00:33:33,190-08B114A,Maquinas Diesel Sa De Cv,Desconocido
,FR1706211,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055308,A.A.02.013.004.004,1602-38000C1E,Low,CNH_AG,No,Alfonso R. Bours S.A. De C.V.,175504,Mexico,29.097795,-110.92939,Mexico,CM1X,CS,TRACTORS,CM80,Acuicola Tacachi,1,2026-02-08 12:21:20,2026-02-08 23:33:33,190-08B059A,Alfonso R. Bours S.A. De C.V.,Yes
,FR1706358,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 90JXM,696055310,A.A.02.013.005.004,1602-38000BB7,Low,CNH_AG,Yes,"Agtrac, S.A.P.I. De C.V., 45601 Tlaquepaque, Jalisco",520057,Mexico,23.203037,-102.891769,Mexico,CM1X,CS,TRACTORS,CM90,"Agtrac, S.A.P.I. De C.V., 45601 Tlaquepaque, Jalisco",3,2026-02-08 17:19:56,2026-02-09 00:33:33,190-08B26AA,"Agtrac, S.A.P.I. De C.V.",Desconocido
,FR1706791,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 90JXM,696055310,A.A.02.013.005.004,1602-38000BFA,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,19.537941,-98.744835,Mexico,CM1X,CS,TRACTORS,CM90,Default Company,23,2026-02-08 11:18:29,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
,FR1708176,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 90JXM,696055310,A.A.02.013.005.004,1602-38000BDD,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,19.280661,-99.827164,Mexico,CM1X,CS,TRACTORS,CM90,Default Company,1,2026-01-31 11:29:26,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
,FR1708651,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 90JXM,696055309,A.A.02.013.005.003,1602-38000DAB,Low,CNH_AG,Yes,"Maquinas Diesel Sa De Cv, Santa Catarina, Nuevo Leon",513666,Mexico,19.941011,-99.28347,Mexico,CM1X,CS,TRACTORS,CM90,"Maquinas Diesel Sa De Cv, Santa Catarina, Nuevo Leon",1,2026-02-09 09:13:26,2026-02-09 00:33:33,190-08B114A,Maquinas Diesel Sa De Cv,Desconocido
,FR1708746,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 90JXM,696055310,A.A.02.013.005.004,1602-38000DC8,Low,CNH_AG,Yes,"Maquinas Diesel Sa De Cv, Santa Catarina, Nuevo Leon",513666,Mexico,28.597439,-100.585037,Mexico,CM1X,CS,TRACTORS,CM90,"Maquinas Diesel Sa De Cv, Santa Catarina, Nuevo Leon",1,2025-11-12 11:02:11,2026-02-09 00:33:33,190-08B114A,Maquinas Diesel Sa De Cv,Desconocido
,FR1708915,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055308,A.A.02.013.004.004,1602-38000DAA,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,19.065313,-98.415421,Mexico,CM1X,CS,TRACTORS,CM80,Default Company,39,2026-02-09 11:27:04,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
,FR1733760,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055307,A.A.02.013.004.003,1602-38000CFC,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,19.103031,-98.480217,Mexico,CM1X,CS,TRACTORS,FRMLL 80JXM,Default Company,20,2026-02-08 15:14:48,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
,FR1738740,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055307,A.A.02.013.004.003,1602-38000D50,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,19.098124,-98.235756,Mexico,CM1X,CS,TRACTORS,FRMLL 80JXM,Default Company,2,2026-02-09 10:19:18,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
,FR1745236,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055308,A.A.02.013.004.004,1602-38000D78,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,21.054285,-89.526672,Mexico,CM1X,CS,TRACTORS,FRMLL 80JXM,Default Company,13,2026-01-29 09:39:51,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
,FR1768644,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 90JXM,696055310,A.A.02.013.005.004,1602-38004F82,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,20.636057,-100.432243,Mexico,CM1X,CS,TRACTORS,FRMLL 90JXM,Default Company,7,2026-01-26 11:18:49,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
,FR1770397,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055308,A.A.02.013.004.004,1602-38004D4A,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,19.097294,-98.235756,Mexico,CM1X,CS,TRACTORS,FRMLL 80JXM,Default Company,2,2026-02-07 10:06:01,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
,FR1770511,CASE IH,TRACTORS,UTILITY,FARMALL® JXM,Farmall® 80JXM,696055308,A.A.02.013.004.004,1602-380049F5,Low,CNH_AG,No,Desconocido,Desconocido,Mexico,20.635645,-100.432205,Mexico,CM1X,CS,TRACTORS,FRMLL 80JXM,Default Company,1,2026-02-05 11:40:24,2026-02-09 00:33:33,Desconocido,Desconocido,Desconocido
