Division,Distancia del Dia,Distancia de Ruta
,4381.0,4381.0
ADMIN.VRM,69138.9,69138.9
AGROCISAGRAL,1895107.2,1895107.2
AGROEQUIPOS,589540.9,589540.9
AGROINDUSTRIALES,7235.8,7235.8
AGROSURTE,83074.9,83074.9
ALTENOS,1498000.0,1498000.0
ARAMBULA,14346.6,14346.6
ARBSA,2187242.3,2187242.3
ATC,1969204.4,1969204.4
ATN,3853739.4,3853739.4
ATS,782066.0,782066.0
BLACKTORO,54091.4,54091.4
BOSQUES,21154.3,21154.3
CAPASA,45722.5,45722.5
CUMMINSBAJA,0.0,0.0
DASSA,1729509.4,1729509.4
DIMAPESA,33337.2,33337.2
EMEJORES,15334.6,15334.6
ENAGRI,1484068.8,1484068.8
FORTEX,16761.2,16761.2
IAFSA,33864.0,33864.0
JORDAN,99062.8,99062.8
MADISAGRAL,4595824.8,4595824.8
MAQUIRENT,29918.5,29918.5
MTM,314214.2,314214.2
NORTRACK,27743.2,27743.2
RIVERO,30531.3,30531.3
SAMSA,29354.1,29354.1
TAPSA,296018.6,296018.6
Telematrix,3212162.7,3212162.7
TEPSA,3854621.3,3854621.3
TRACSAGRAL,5306243.3,5306243.3
TRACTIESA,716477.2,716477.2
TRIOSA,99417.3,99417.3
