IMEI,Alias,Marca,Modelo,Configuracion,Fecha Alta,No. Serie,Distribuidor,Ciudad,Estado,Horometro,Odometro,Total,Cerrados,C.Fuera,Pendientes,50,300,600,900,1200,1500,1800,2100,2400,Latitud,Longitud,Combustible,Distancia,Vel. Maxima (kph),Vel. Promedio (kph),T. Encendido (hrs),T. Apagado (hrs),intervalos_con_info,intervalos_sin_info,edad_equipo
16397000062879,16397000062879,CASE CE,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,25.7091331,-100.3653488,0.0,0.0,0,0.0,0.0,0.0,0,9,
352556102049694,352556102049694,NEW HOLLAND AG,TS6.120,FWD 8X8 PS,2022-06-02,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,4.0
352556102529786,352556102529786,NEW HOLLAND AG,Desconocido,Desconocido,2024-02-09,ZEBG01193,TRACSAGRAL,San Pedro Tlaquepaque,Jalisco,6179.56,0.05,0,0,0,0,,,,,,,,,,20.5777445,-103.3422955,0.0,0.0,0,0.0,0.0,24.0,0,9,2.0
352556102532012,352556102532012,Desconocido,Desconocido,Desconocido,,serieprueba,TRACSAGRAL,Tala,Jalisco,0.0,357.92,0,0,0,0,,,,,,,,,,20.754378,-103.6602101,0.0,0.0,0,0.0,0.0,24.0,0,9,
352556102805988,352556102805988,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,21.9839788,-98.9600821,0.0,0.0,0,0.0,0.0,0.0,0,9,
352556102809907,ATN - 352556102809907,Desconocido,Desconocido,Desconocido,,Desconocido,ATN,Altamira,Tamaulipas,0.0,4778.54,0,0,0,0,,,,,,,,,,22.4158778,-97.9383483,0.0,0.0,0,0.0,0.0,24.0,0,9,
352556102921207,352556102921207,Desconocido,Desconocido,Desconocido,,Desconocido,TRACTIESA,Villa de Allende,Mexico,253.2,186.66,0,0,0,0,,,,,,,,,,19.4361166,-99.9948618,0.0,324.37,89,35.58,9.36,14.64,0,9,
352556103257775,352556103257775,Desconocido,Desconocido,Desconocido,,SC2401502292,TRACSAGRAL,Zapotlan el Grande,Jalisco,0.0,42.88,0,0,0,0,,,,,,,,,,19.6693198,-103.5009675,0.0,52.42,25,8.93,6.16,17.84,0,9,
352556103310673,ZNAB50164,NEW HOLLAND AG,TD85F,Desconocido,2023-08-30,ZNAB50164,TRACSAGRAL,Benito Juarez,Quintana Roo,714.0,2.71,0,0,0,0,,,,,,,,,,21.104335,-86.9716386,0.0,0.0,0,0.0,0.0,24.0,0,9,3.0
352556103333709,352556103333709,NEW HOLLAND AG,7610S,4WD,2024-03-26,S508513M-8108221,TRACSAGRAL,Zapotlan el Grande,Jalisco,2746.26,26.97,4,2,0,2,,,Cerrada,Cerrada,,Pendiente,,,,19.686028,-103.4987486,0.0,28.47,19,4.76,6.31,17.7,3,6,2.0
352556103357591,352556103357591,CAT,Desconocido,Desconocido,2024-03-14,CAT966,MADISAGRAL,Atitalaquia,Hidalgo,2525.1,44.98,0,0,0,0,,,,,,,,,,20.0680153,-99.2072953,0.0,0.0,0,0.0,0.0,24.0,0,9,2.0
352556103422916,352556103422916,NEW HOLLAND AG,T3.75F,Desconocido,2024-04-25,ZPAF50048,TRACSAGRAL,Lagos de Moreno,Jalisco,913.0,18.83,0,0,0,0,,,,,,,,,,21.2020926,-101.9906228,0.0,0.0,0,0.0,0.0,24.0,0,9,2.0
352557105969532,ATS - NKJ22CLRVPKA00892 352557105969532,CASE CE,Desconocido,Desconocido,2023-08-11,NKJ22CLRVPKA00892,ATN,Francisco I. Madero,Hidalgo,455.03,35.63,0,0,0,0,,,,,,,,,,25.7393548,-103.3847046,0.0,0.0,0,0.0,0.0,24.0,0,9,3.0
353538100950664,353538100950664,Desconocido,Desconocido,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100613809,TRACSA - HFJ182781,CASE IH,95JX,HC 4WD CABINA,2022-02-10,HFJ182781,TRACSAGRAL,Atlixco,Puebla,928.41,406.24,4,0,0,4,Pendiente,Pendiente,Pendiente,Pendiente,,,,,,18.822367,-98.467286,0.0,0.0,0,0.0,0.0,24.0,4,5,4.0
353738100613981,TRACSA - 5800787M,NEW HOLLAND AG,7810,4WD,2022-06-10,5800787M,TRACSAGRAL,San Juan de los Lagos,Jalisco,1935.3,15.97,7,0,0,7,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,,,21.1658646,-102.3343195,0.0,0.0,0,0.0,0.0,24.0,7,2,4.0
353738100789492,AGRICOLA 300,NEW HOLLAND AG,TS6.110,"FOUR WHEEL DRIVE (FWD ï¿½ 4WD), 8X8 PS CAB",2021-07-19,ZKBK01957,DASSA,Salvador Alvarado,Sinaloa,7117.25,430.62,5,4,0,1,,,,,,,,,,25.3504555,-108.206585,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
353738100789500,353738100789500,NEW HOLLAND AG,TT4.90,Desconocido,2023-03-13,NH1638546,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,18.1144288,-94.5641756,0.0,0.0,0,0.0,0.0,0.0,0,9,3.0
353738100790136,MTM-353738100790136,NEW HOLLAND CE,L218,Desconocido,2022-11-28,NJM442750,MTM,Jiutepec,Morelos,989.54,8.71,0,0,0,0,,,,,,,,,,18.8760038,-99.1689458,0.0,0.0,0,0.0,0.0,24.0,0,9,4.0
353738100790227,MTM-EXC ZOOMLION-MOD ZE215E-353738100790227,Desconocido,Desconocido,Desconocido,2023-02-13,353738100790227,MTM,San Andres Cholula,Puebla,4088.53,0.0,0,0,0,0,,,,,,,,,,18.9945416,-98.2971731,0.0,0.0,0,0.0,0.0,24.0,0,9,3.0
353738100790284,MTM-353738100790284,NEW HOLLAND CE,B90B,Desconocido,2022-11-11,FNH0B90BNJHH01685,MTM,Cuernavaca,Morelos,2325.87,34.05,0,0,0,0,,,,,,,,,,18.9363255,-99.2222343,0.0,0.0,0,0.0,0.0,24.0,0,9,4.0
353738100798063,353738100798063,CASE IH,MAXXUM 125,MAXXUM 125 MFD CAB,2024-06-13,ZKBE01562,ATC,Tamuin,San Luis Potosi,5462.6,1125.65,0,0,0,0,,,,,,,,,,21.9677106,-98.801009,0.0,0.0,0,0.0,0.0,24.0,0,9,2.0
353738100798097,353738100798097,NEW HOLLAND AG,7610S HERENCIA,Desconocido,,Desconocido,Desconocido,Desconocido,Desconocido,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,9,
353738100798105,BT6 - Rancho Tepames Persa,NEW HOLLAND AG,TS6.110,"FOUR WHEEL DRIVE (FWD ï¿½ 4WD), 8X8 PS CAB",2021-07-19,H10990M,Desconocido,Desconocido,Desconocido,0.0,0.0,1,0,0,1,,,,,,,,,,18.8845136,-103.8773288,0.0,0.0,0,0.0,0.0,0.0,0,9,5.0
353738100798519,R-MADISA- NH09445M - 353738100798519,NEW HOLLAND AG,TS6.140,FWD 8X8 MS CABINA,2021-11-04,NH09445M-001809562,MADISAGRAL,San Juan Bautista Tuxtepec,Oaxaca,3569.78,79.31,13,0,3,13,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,Pendiente,18.2934551,-96.14286,0.0,0.0,0,0.0,0.0,24.0,9,0,5.0
353738100801420,MDA - DURANGO TT75EFWDRA,NEW HOLLAND AG,TT75,FWD,2021-08-13,T049538M-715314261,MADISAGRAL,Abasolo,Nuevo Leon,0.0,0.0,0,0,0,0,,,,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0.0,24.0,0,9,5.0
