Nivel de riesgo,Score riesgo,Alias,No. Serie,Marca,Modelo,Distribuidor,Estado,Horómetro,Edad equipo,Total servicios,Cerrados,Cerrada fuera,Pendientes,Backlog,Atraso máx hrs,Atraso prom hrs,T. Encendido hrs,Distancia,Última fecha mant.,Motivo clasificación
Crítico,80.0,TAPSAR-H20358M-353738103189443,Desconocido,NEW HOLLAND AG,TS6.120 ELITE,TAPSA,Puebla,8635.7,4,7,2,1,4,5,535,385.0,3.2,5.9,2025-11-07 10:05:00,5 servicio(s) pendiente/fuera; atraso máx. 535 hrs; horómetro alto 8636 hrs
Crítico,79.4,MADISA - S306522M-860092059729422,S306522M-8103411,NEW HOLLAND AG,6610S HERENCIA,MADISAGRAL,Oaxaca,1198.1,4,18,0,1,17,18,1148,735.5,0.0,0.0,2024-04-10 18:49:00,18 servicio(s) pendiente/fuera; atraso máx. 1148 hrs
Crítico,78.3,7610S 2WD-5,Desconocido,NEW HOLLAND AG,7610S,Desconocido,Desconocido,0.0,5,27,0,8,19,27,2381,1395.3,0.0,0.0,2025-08-01 15:57:00,27 servicio(s) pendiente/fuera; atraso máx. 2381 hrs
Crítico,78.2,TAPSA - S306541M,S306541M-8105358,NEW HOLLAND AG,6610S HERENCIA,TAPSA,Puebla,1155.6,4,9,0,0,9,9,1106,693.5,3.9,7.5,2025-11-07 09:25:00,9 servicio(s) pendiente/fuera; atraso máx. 1106 hrs
Crítico,77.7,TRACSA - S306820M,S306820M-8114107,NEW HOLLAND AG,6610S HERENCIA,TRACSAGRAL,Michoacan de Ocampo,1198.9,3,5,0,0,5,5,1149,736.5,1.7,21.9,2025-04-03 08:08:00,5 servicio(s) pendiente/fuera; atraso máx. 1149 hrs
Crítico,77.6,MADISA - S306412M,S306412M-8094831,NEW HOLLAND AG,6610S HERENCIA,MADISAGRAL,Quintana Roo,1136.2,4,11,0,1,10,11,1086,673.5,0.0,0.0,2024-10-04 21:40:00,11 servicio(s) pendiente/fuera; atraso máx. 1086 hrs
Crítico,77.2,TAPSA - S402810M,S402810M-8103402,NEW HOLLAND AG,7610S HERENCIA,TAPSA,Puebla,1121.9,4,29,0,1,28,29,1073,660.5,0.0,1.6,2025-11-07 09:25:00,29 servicio(s) pendiente/fuera; atraso máx. 1073 hrs
Crítico,77.2,ENAGRI-B80CLNKH30368-353738100942687,NKJ0B80CLNKH30368,NEW HOLLAND CE,B80C,Desconocido,Desconocido,0.0,6,4,0,0,4,4,1087,637.0,0.0,0.0,2024-04-10 19:15:00,4 servicio(s) pendiente/fuera; atraso máx. 1087 hrs; edad 6 años
Crítico,77.0,TEPSA - 866392066980412,S508804M-8122264,NEW HOLLAND AG,7610S HERENCIA,TEPSA,Puebla,1175.7,3,9,0,0,9,9,1125,712.5,0.0,0.0,2024-06-08 22:00:00,9 servicio(s) pendiente/fuera; atraso máx. 1125 hrs
Crítico,76.9,ARB-S507512M-356052106920805,S507512M-8086488,NEW HOLLAND AG,7610S HERENCIA,ARBSA,Sonora,6641.1,5,36,6,15,15,30,341,191.0,0.0,0.0,2024-10-01 21:55:00,30 servicio(s) pendiente/fuera; atraso máx. 341 hrs; horómetro alto 6641 hrs
Crítico,76.7,TS6 140 ELITE - 4100033M-353738101247318,4100033M-001883885,NEW HOLLAND AG,TS6.120 ELITE,Desconocido,Desconocido,0.0,4,25,0,0,25,25,5766,2966.0,0.0,0.0,2025-11-07 09:27:00,25 servicio(s) pendiente/fuera; atraso máx. 5766 hrs
Crítico,76.7,866392061706697,5801159M-727350664,NEW HOLLAND AG,6810,Desconocido,Desconocido,0.0,4,18,0,0,18,18,3413,1763.0,0.0,0.0,2025-05-06 21:35:00,18 servicio(s) pendiente/fuera; atraso máx. 3413 hrs
